rsn,address,bing_address,neighbourhood,apartment,property_type,year_built,year_registered,units,storeys,property_management_or_landlord,evaluation_completed_on,score,score_percent,score_bucket,score_colour,agi,date_agi_initiated,tdf,tdf_year,reduced_increase_by,eviction_hearing,hearings,geometry,tooltip
4152938,1942 Bloor St W,1942 Bloor St W,High Park North,TRUE,Private,1940,2017,16,4,NA,2019-10-31,68,68%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4672266, 43.6533907)",<b>1942 Bloor St W</b><br><b>Built</b>: 1940<br><b>Units</b>: 16<br><b>RentSafeTO Evaluation</b>: 68%<br>
4152945,2767 Dundas St W,2767 Dundas St W,Junction Area,TRUE,Social Housing,1992,2017,21,6,Mainstay Housing,2019-10-31,73,73%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.461599, 43.6651113)",<b>2767 Dundas St W</b><br><b>Built</b>: 1992<br><b>Landlord/Management</b>: Mainstay Housing<br><b>Units</b>: 21<br><b>RentSafeTO Evaluation</b>: 73%<br>
4153565,101 Ontario St,101 Ontario St,Moss Park,TRUE,Social Housing,2005,2017,52,8,NA,2021-04-13,93,93%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3667101, 43.6546001)",<b>101 Ontario St</b><br><b>Built</b>: 2005<br><b>Units</b>: 52<br><b>RentSafeTO Evaluation</b>: 93%<br>
4153569,223 Sherbourne St,223 Sherbourne St,Moss Park,TRUE,Social Housing,1988,2017,60,6,NA,2020-12-21,72,72%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3706446, 43.6582217)",<b>223 Sherbourne St</b><br><b>Built</b>: 1988<br><b>Units</b>: 60<br><b>RentSafeTO Evaluation</b>: 72%<br>
4153574,330 Dundas St E,330 Dundas St E,Moss Park,TRUE,Social Housing,1991,2017,29,4,Mainstay Housing,2019-02-07,77,77%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3702099, 43.65875)",<b>330 Dundas St E</b><br><b>Built</b>: 1991<br><b>Landlord/Management</b>: Mainstay Housing<br><b>Units</b>: 29<br><b>RentSafeTO Evaluation</b>: 77%<br>
4153580,26 Gifford St,26 Gifford St,Cabbagetown-South St.James Town,TRUE,Private,1930,2017,15,4,NA,2021-04-20,70,70%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3636932, 43.6633485)",<b>26 Gifford St</b><br><b>Built</b>: 1930<br><b>Units</b>: 15<br><b>RentSafeTO Evaluation</b>: 70%<br>
4152969,110 Tyndall Ave,110 Tyndall Ave,South Parkdale,TRUE,Private,1960,2017,26,3,Property Services Inc.,2021-04-16,75,75%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4291353, 43.6369101)",<b>110 Tyndall Ave</b><br><b>Built</b>: 1960<br><b>Landlord/Management</b>: Property Services Inc.<br><b>Units</b>: 26<br><b>RentSafeTO Evaluation</b>: 75%<br>
4152984,125 Jameson Ave,125 Jameson Ave,South Parkdale,TRUE,Private,1955,2017,67,7,NA,2020-10-28,68,68%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4351595, 43.6361662)",<b>125 Jameson Ave</b><br><b>Built</b>: 1955<br><b>Units</b>: 67<br><b>RentSafeTO Evaluation</b>: 68%<br>
4152985,145 Jameson Ave,145 Jameson Ave,South Parkdale,TRUE,Private,1960,2017,80,9,Medallion Corporation,2020-10-22,77,77%,61% to 80%,#c994c7,TRUE,2020-05-04,FALSE,NA,NA,FALSE,NA,"c(-79.4356094, 43.636961)",<b>145 Jameson Ave</b><br><b>Built</b>: 1960<br><b>Landlord/Management</b>: Medallion Corporation<br><b>Units</b>: 80<br><b>RentSafeTO Evaluation</b>: 77%<br><b>AGI Application</b>: 2020-05-04<br>
4153596,222 Wellesley St E,222 Wellesley St E,North St.James Town,TRUE,Private,1963,2017,69,7,NA,2019-02-13,81,81%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3727848, 43.6678783)",<b>222 Wellesley St E</b><br><b>Built</b>: 1963<br><b>Units</b>: 69<br><b>RentSafeTO Evaluation</b>: 81%<br>
4154435,2415 Jane St,2415 Jane St,Downsview-Roding-CFB,TRUE,Private,1968,2017,158,20,Psn Properties Inc.,2019-11-18,76,76%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.5101135, 43.7307412)",<b>2415 Jane St</b><br><b>Built</b>: 1968<br><b>Landlord/Management</b>: Psn Properties Inc.<br><b>Units</b>: 158<br><b>RentSafeTO Evaluation</b>: 76%<br>
4154442,3020 Keele St,3020 Keele St,Downsview-Roding-CFB,TRUE,Private,1959,2017,39,3,NA,2020-11-12,72,72%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.485313, 43.7379839)",<b>3020 Keele St</b><br><b>Built</b>: 1959<br><b>Units</b>: 39<br><b>RentSafeTO Evaluation</b>: 72%<br>
4154446,27 Seeley Dr,27 Seeley Dr,Downsview-Roding-CFB,TRUE,Private,1959,2017,71,5,Iana Developments,2019-11-18,76,76%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,1,"c(-79.491822, 43.7411236)",<b>27 Seeley Dr</b><br><b>Built</b>: 1959<br><b>Landlord/Management</b>: Iana Developments<br><b>Units</b>: 71<br><b>RentSafeTO Evaluation</b>: 76%<br><b>Eviction Hearings</b>: 1<br>
4154952,1520 Bathurst St,1520 Bathurst St,Humewood-Cedarvale,TRUE,Private,1932,2017,24,4,NA,2019-03-13,87,87%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4194567, 43.6849645)",<b>1520 Bathurst St</b><br><b>Built</b>: 1932<br><b>Units</b>: 24<br><b>RentSafeTO Evaluation</b>: 87%<br>
4154958,125 Vaughan Rd,125 Vaughan Rd,Humewood-Cedarvale,TRUE,Private,1950,2017,32,4,NA,2020-11-05,66,66%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4212143, 43.6846995)",<b>125 Vaughan Rd</b><br><b>Built</b>: 1950<br><b>Units</b>: 32<br><b>RentSafeTO Evaluation</b>: 66%<br>
4154962,50 Raglan Ave,50 Raglan Ave,Humewood-Cedarvale,TRUE,Private,1928,2018,32,4,Davis Property Management,2021-04-20,66,66%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4205579, 43.6844674)",<b>50 Raglan Ave</b><br><b>Built</b>: 1928<br><b>Landlord/Management</b>: Davis Property Management<br><b>Units</b>: 32<br><b>RentSafeTO Evaluation</b>: 66%<br>
4154966,98 Vaughan Rd,98 Vaughan Rd,Humewood-Cedarvale,TRUE,Private,1963,2017,40,4,1268935 Ontario,2019-02-28,87,87%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,TRUE,4,"c(-79.4214675, 43.6836576)",<b>98 Vaughan Rd</b><br><b>Built</b>: 1963<br><b>Landlord/Management</b>: 1268935 Ontario<br><b>Units</b>: 40<br><b>RentSafeTO Evaluation</b>: 87%<br><b>Eviction Hearings</b>: 4<br>
4155471,98 Cavell Ave,98 Cavell Ave,Mimico (includes Humber Bay Shores),TRUE,TCHC,1992,2017,100,6,NA,2021-05-12,75,75%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4959486, 43.6159971)",<b>98 Cavell Ave</b><br><b>Built</b>: 1992<br><b>Units</b>: 100<br><b>RentSafeTO Evaluation</b>: 75%<br>
4155474,2377 Lake Shore Blvd W,2377 Lake Shore Blvd W,Mimico (includes Humber Bay Shores),TRUE,Private,1970,2017,23,4,2525658 Ontario Inc.,2020-11-30,73,73%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,1,"c(-79.4878888, 43.6154428)",<b>2377 Lake Shore Blvd W</b><br><b>Built</b>: 1970<br><b>Landlord/Management</b>: 2525658 Ontario Inc.<br><b>Units</b>: 23<br><b>RentSafeTO Evaluation</b>: 73%<br><b>Eviction Hearings</b>: 1<br>
4155477,2355 Lake Shore Blvd W,2355 Lake Shore Blvd W,Mimico (includes Humber Bay Shores),TRUE,Private,1958,2017,86,4,Aiderbrook Management Inc.,2020-11-09,75,75%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4876959, 43.6160681)",<b>2355 Lake Shore Blvd W</b><br><b>Built</b>: 1958<br><b>Landlord/Management</b>: Aiderbrook Management Inc.<br><b>Units</b>: 86<br><b>RentSafeTO Evaluation</b>: 75%<br>
4156296,33 Holly St,33 Holly St,Mount Pleasant West,TRUE,Private,1963,2017,162,14,Compten Management Inc.,2019-12-09,85,85%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,TRUE,1,"c(-79.395928, 43.705888)",<b>33 Holly St</b><br><b>Built</b>: 1963<br><b>Landlord/Management</b>: Compten Management Inc.<br><b>Units</b>: 162<br><b>RentSafeTO Evaluation</b>: 85%<br><b>Eviction Hearings</b>: 1<br>
4156313,3171-3181 Eglinton Ave E,3171 Eglinton Ave E,Scarborough Village,TRUE,TCHC,1965,2017,103,7,Del Managment,2020-11-06,61,61%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,1,"c(-79.2200493, 43.7426253)",<b>3171-3181 Eglinton Ave E</b><br><b>Built</b>: 1965<br><b>Landlord/Management</b>: Del Managment<br><b>Units</b>: 103<br><b>RentSafeTO Evaluation</b>: 61%<br><b>Eviction Hearings</b>: 1<br>
4156319,182-250 Brenyon Way,182 Brenyon Way,Malvern,TRUE,Private,1979,2017,208,21,Dms Property Management Ltd.,2019-11-27,92,92%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.2127424, 43.805701)",<b>182-250 Brenyon Way</b><br><b>Built</b>: 1979<br><b>Landlord/Management</b>: Dms Property Management Ltd.<br><b>Units</b>: 208<br><b>RentSafeTO Evaluation</b>: 92%<br>
4156323,4001 Bayview Ave,4001 Bayview Ave,Bayview Woods-Steeles,TRUE,Private,1971,2017,234,12,Sterling Karamar Property Management,2019-11-06,95,95%,81% to 100%,#e7e1ef,TRUE,2018-05-09,FALSE,NA,NA,FALSE,NA,"c(-79.3922988, 43.8013116)",<b>4001 Bayview Ave</b><br><b>Built</b>: 1971<br><b>Landlord/Management</b>: Sterling Karamar Property Management<br><b>Units</b>: 234<br><b>RentSafeTO Evaluation</b>: 95%<br><b>AGI Application</b>: 2018-05-09<br>
4156354,45 Oakmount Rd,45 Oakmount Rd,High Park North,TRUE,Private,1965,2017,221,15,Beaux Properties Management,2019-10-31,72,72%,61% to 80%,#c994c7,TRUE,"2021-01-05, 2016-05-09",TRUE,2018,1%,FALSE,NA,"c(-79.462418, 43.655908)","<b>45 Oakmount Rd</b><br><b>Built</b>: 1965<br><b>Landlord/Management</b>: Beaux Properties Management<br><b>Units</b>: 221<br><b>RentSafeTO Evaluation</b>: 72%<br><b>AGI Application</b>: 2021-01-05, 2016-05-09<br><b>Tenant Defence Fund Received</b>: 2018<br><b>TDF Reduced Increase By</b>: 1%<br>"
4156355,9 Bergamot Ave,9 Bergamot Ave,Rexdale-Kipling,TRUE,Private,1960,2017,73,4,Pinedale Properties Ltd,2020-11-16,73,73%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.5586998, 43.7146283)",<b>9 Bergamot Ave</b><br><b>Built</b>: 1960<br><b>Landlord/Management</b>: Pinedale Properties Ltd<br><b>Units</b>: 73<br><b>RentSafeTO Evaluation</b>: 73%<br>
4155054,1030 Castlefield Ave,1030 Castlefield Ave,Briar Hill-Belgravia,TRUE,Private,1956,2017,56,5,Kpm,2020-11-20,79,79%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4495629, 43.7009696)",<b>1030 Castlefield Ave</b><br><b>Built</b>: 1956<br><b>Landlord/Management</b>: Kpm<br><b>Units</b>: 56<br><b>RentSafeTO Evaluation</b>: 79%<br>
4155059,2495 Dufferin St,2495 Dufferin St,Briar Hill-Belgravia,TRUE,Private,1960,2017,15,3,NA,2021-04-22,51,51%,60% and under,#dd1c77,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.45162, 43.701721)",<b>2495 Dufferin St</b><br><b>Built</b>: 1960<br><b>Units</b>: 15<br><b>RentSafeTO Evaluation</b>: 51%<br>
4155557,75 Forty Second St,75 42nd St,Long Branch,TRUE,Private,1960,2017,28,4,De Sei Investments Limited,2019-10-30,69,69%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.544014, 43.589032)",<b>75 Forty Second St</b><br><b>Built</b>: 1960<br><b>Landlord/Management</b>: De Sei Investments Limited<br><b>Units</b>: 28<br><b>RentSafeTO Evaluation</b>: 69%<br>
4155565,3485 St Clair Ave E,3485 St Clair Ave E,Clairlea-Birchmount,TRUE,TCHC,1968,2017,97,9,Del Management,2020-12-18,63,63%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,1,"c(-79.2681485, 43.7145244)",<b>3485 St Clair Ave E</b><br><b>Built</b>: 1968<br><b>Landlord/Management</b>: Del Management<br><b>Units</b>: 97<br><b>RentSafeTO Evaluation</b>: 63%<br><b>Eviction Hearings</b>: 1<br>
4155571,65 Greenbrae Crct,65 Greenbrae Circuit,Woburn,TRUE,TCHC,1970,2017,128,13,Del Management,2019-11-28,84,84%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,TRUE,3,"c(-79.229687, 43.759809)",<b>65 Greenbrae Crct</b><br><b>Built</b>: 1970<br><b>Landlord/Management</b>: Del Management<br><b>Units</b>: 128<br><b>RentSafeTO Evaluation</b>: 84%<br><b>Eviction Hearings</b>: 3<br>
4156523,4750-4754 Dundas St W,4750 Dundas St W,Edenbridge-Humber Valley,TRUE,Private,1950,2017,14,4,1564534 Ontario Ltd,2020-11-17,83,83%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,TRUE,1,"c(-79.5259679, 43.6523664)",<b>4750-4754 Dundas St W</b><br><b>Built</b>: 1950<br><b>Landlord/Management</b>: 1564534 Ontario Ltd<br><b>Units</b>: 14<br><b>RentSafeTO Evaluation</b>: 83%<br><b>Eviction Hearings</b>: 1<br>
4156547,92 Carlton St,92 Carlton St,Church-Yonge Corridor,TRUE,TCHC,2010,2017,110,12,Greenwin,2021-04-28,67,67%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,4,"c(-79.3782134, 43.6622964)",<b>92 Carlton St</b><br><b>Built</b>: 2010<br><b>Landlord/Management</b>: Greenwin<br><b>Units</b>: 110<br><b>RentSafeTO Evaluation</b>: 67%<br><b>Eviction Hearings</b>: 4<br>
4156601,1 Oak St,1 Oak St,Regent Park,TRUE,TCHC,2010,2017,84,10,NA,2021-04-28,71,71%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.366055, 43.660501)",<b>1 Oak St</b><br><b>Built</b>: 2010<br><b>Units</b>: 84<br><b>RentSafeTO Evaluation</b>: 71%<br>
4153817,117 Broadway Ave,117 Broadway Ave,Mount Pleasant West,TRUE,Private,1954,2017,71,4,Cromwell Mangaement Inc.,2019-12-02,70,70%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3926687, 43.7104505)",<b>117 Broadway Ave</b><br><b>Built</b>: 1954<br><b>Landlord/Management</b>: Cromwell Mangaement Inc.<br><b>Units</b>: 71<br><b>RentSafeTO Evaluation</b>: 70%<br>
4153820,890 Mount Pleasant Rd,890 Mount Pleasant Rd,Mount Pleasant West,TRUE,Private,1968,2017,145,19,NA,2019-12-02,89,89%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.391465, 43.7107316)",<b>890 Mount Pleasant Rd</b><br><b>Built</b>: 1968<br><b>Units</b>: 145<br><b>RentSafeTO Evaluation</b>: 89%<br>
4153821,250 Roehampton Ave,250 Roehampton Ave,Mount Pleasant West,TRUE,Private,1963,2017,91,11,NA,2019-12-02,79,79%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3915407, 43.7097479)",<b>250 Roehampton Ave</b><br><b>Built</b>: 1963<br><b>Units</b>: 91<br><b>RentSafeTO Evaluation</b>: 79%<br>
4154564,30 Covington Rd,30 Covington Rd,Englemount-Lawrence,TRUE,Private,1953,2017,26,4,626114/5 Ontario Ltd,2021-04-22,76,76%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,1,"c(-79.4329069, 43.7206106)",<b>30 Covington Rd</b><br><b>Built</b>: 1953<br><b>Landlord/Management</b>: 626114/5 Ontario Ltd<br><b>Units</b>: 26<br><b>RentSafeTO Evaluation</b>: 76%<br><b>Eviction Hearings</b>: 1<br>
4154578,30 Vinci Cres,30 Vinci Crescent,Clanton Park,TRUE,Private,1960,2017,33,4,Compten Management Inc.,2020-11-17,84,84%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4460494, 43.7369965)",<b>30 Vinci Cres</b><br><b>Built</b>: 1960<br><b>Landlord/Management</b>: Compten Management Inc.<br><b>Units</b>: 33<br><b>RentSafeTO Evaluation</b>: 84%<br>
4154585,15 Rosseau Rd,15 Rosseau Rd,Clanton Park,TRUE,Private,1951,2017,11,3,Knrs Properties Inc,2020-10-21,80,80%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4367098, 43.7425579)",<b>15 Rosseau Rd</b><br><b>Built</b>: 1951<br><b>Landlord/Management</b>: Knrs Properties Inc<br><b>Units</b>: 11<br><b>RentSafeTO Evaluation</b>: 80%<br>
4154587,19 Rosseau Rd,19 Rosseau Rd,Clanton Park,TRUE,Private,1955,2017,11,3,Ram-Land Property Management,2020-10-21,78,78%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.43689, 43.7429037)",<b>19 Rosseau Rd</b><br><b>Built</b>: 1955<br><b>Landlord/Management</b>: Ram-Land Property Management<br><b>Units</b>: 11<br><b>RentSafeTO Evaluation</b>: 78%<br>
4154589,23 Rosseau Rd,23 Rosseau Rd,Clanton Park,TRUE,Private,1954,NA,11,3,NA,2020-11-03,76,76%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4368245, 43.7432625)",<b>23 Rosseau Rd</b><br><b>Built</b>: 1954<br><b>Units</b>: 11<br><b>RentSafeTO Evaluation</b>: 76%<br>
4154590,25 Rosseau Rd,25 Rosseau Rd,Clanton Park,TRUE,Private,1954,NA,11,3,NA,2020-11-03,70,70%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4370076, 43.7434247)",<b>25 Rosseau Rd</b><br><b>Built</b>: 1954<br><b>Units</b>: 11<br><b>RentSafeTO Evaluation</b>: 70%<br>
4155070,502 Gilbert Ave,502 Gilbert Ave,Caledonia-Fairbank,TRUE,Private,1960,2017,23,3,NA,2020-11-02,84,84%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4635994, 43.6920003)",<b>502 Gilbert Ave</b><br><b>Built</b>: 1960<br><b>Units</b>: 23<br><b>RentSafeTO Evaluation</b>: 84%<br>
4155071,500 Gilbert Ave,500 Gilbert Ave,Caledonia-Fairbank,TRUE,Private,1960,2017,29,3,NA,2020-11-02,84,84%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4635656, 43.6918145)",<b>500 Gilbert Ave</b><br><b>Built</b>: 1960<br><b>Units</b>: 29<br><b>RentSafeTO Evaluation</b>: 84%<br>
4155089,43 Glenhaven St,43 Glenhaven St,Beechborough-Greenbrook,TRUE,Private,1950,2017,11,3,NA,2020-11-04,83,83%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4699474, 43.6931715)",<b>43 Glenhaven St</b><br><b>Built</b>: 1950<br><b>Units</b>: 11<br><b>RentSafeTO Evaluation</b>: 83%<br>
4155325,3 Bexhill Crt,3 Bexhill Crt,Edenbridge-Humber Valley,TRUE,Private,1959,2017,14,4,Realstar,2020-12-02,79,79%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.520199, 43.663075)",<b>3 Bexhill Crt</b><br><b>Built</b>: 1959<br><b>Landlord/Management</b>: Realstar<br><b>Units</b>: 14<br><b>RentSafeTO Evaluation</b>: 79%<br>
4155328,291 The Kingsway,291 The Kingsway,Edenbridge-Humber Valley,TRUE,Private,1955,2018,29,4,The Elia Corporation,2017-12-06,60,60%,60% and under,#dd1c77,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.5200346, 43.6634549)",<b>291 The Kingsway</b><br><b>Built</b>: 1955<br><b>Landlord/Management</b>: The Elia Corporation<br><b>Units</b>: 29<br><b>RentSafeTO Evaluation</b>: 60%<br>
4155914,3036 Bathurst St,3036 Bathurst St,Englemount-Lawrence,TRUE,TCHC,1992,2017,160,7,NA,2021-04-30,73,73%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4299187, 43.7185557)",<b>3036 Bathurst St</b><br><b>Built</b>: 1992<br><b>Units</b>: 160<br><b>RentSafeTO Evaluation</b>: 73%<br>
4155918,2085-2101 Islington Ave,2085 Islington Ave,Kingsview Village-The Westway,TRUE,Private,1970,2017,271,22,Westwood Mgmt International,2019-10-28,80,80%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,5,"c(-79.548939, 43.703367)",<b>2085-2101 Islington Ave</b><br><b>Built</b>: 1970<br><b>Landlord/Management</b>: Westwood Mgmt International<br><b>Units</b>: 271<br><b>RentSafeTO Evaluation</b>: 80%<br><b>Eviction Hearings</b>: 5<br>
4155924,14 Bexhill Crt,14 Bexhill Crt,Edenbridge-Humber Valley,TRUE,Private,1952,2017,14,4,Hedie Investments,2020-12-02,80,80%,61% to 80%,#c994c7,TRUE,2017-03-10,TRUE,2018,0.2%,FALSE,NA,"c(-79.5201936, 43.6627237)",<b>14 Bexhill Crt</b><br><b>Built</b>: 1952<br><b>Landlord/Management</b>: Hedie Investments<br><b>Units</b>: 14<br><b>RentSafeTO Evaluation</b>: 80%<br><b>AGI Application</b>: 2017-03-10<br><b>Tenant Defence Fund Received</b>: 2018<br><b>TDF Reduced Increase By</b>: 0.2%<br>
4155959,11 Elm Ave,11 Elm Ave,Rosedale-Moore Park,TRUE,Private,1957,2017,59,4,NA,2019-11-27,87,87%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3793256, 43.6743499)",<b>11 Elm Ave</b><br><b>Built</b>: 1957<br><b>Units</b>: 59<br><b>RentSafeTO Evaluation</b>: 87%<br>
4155977,37 Durnford Rd,37 Durnford Rd,Rouge,TRUE,Social Housing,1992,2018,28,4,NA,2021-04-13,78,78%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.1502467, 43.7997406)",<b>37 Durnford Rd</b><br><b>Built</b>: 1992<br><b>Units</b>: 28<br><b>RentSafeTO Evaluation</b>: 78%<br>
4152691,711 Kennedy Rd,711 Kennedy Rd,Kennedy Park,TRUE,Private,1958,2018,79,6,Global Properties Ltd,2020-11-12,69,69%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,1,"c(-79.265905, 43.7287101)",<b>711 Kennedy Rd</b><br><b>Built</b>: 1958<br><b>Landlord/Management</b>: Global Properties Ltd<br><b>Units</b>: 79<br><b>RentSafeTO Evaluation</b>: 69%<br><b>Eviction Hearings</b>: 1<br>
4152699,1165 Birchmount Rd,1165 Birchmount Rd,Dorset Park,TRUE,Private,1965,2017,20,4,Paul Thornton,2019-11-25,88,88%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.281928, 43.7416087)",<b>1165 Birchmount Rd</b><br><b>Built</b>: 1965<br><b>Landlord/Management</b>: Paul Thornton<br><b>Units</b>: 20<br><b>RentSafeTO Evaluation</b>: 88%<br>
4152712,877 Kennedy Rd,877 Kennedy Rd,Ionview,TRUE,Private,1965,2017,32,4,Smallwood Consulting Ltd.,2019-11-25,84,84%,81% to 100%,#e7e1ef,TRUE,"2020-10-06, 2018-01-31, 2016-09-29",FALSE,NA,NA,TRUE,2,"c(-79.2704487, 43.7396353)","<b>877 Kennedy Rd</b><br><b>Built</b>: 1965<br><b>Landlord/Management</b>: Smallwood Consulting Ltd.<br><b>Units</b>: 32<br><b>RentSafeTO Evaluation</b>: 84%<br><b>Eviction Hearings</b>: 2<br><b>AGI Application</b>: 2020-10-06, 2018-01-31, 2016-09-29<br>"
4154312,2597 Keele St,2597 Keele St,Maple Leaf,TRUE,Private,1955,2017,39,4,Macdane Investments,2020-10-21,76,76%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,2,"c(-79.4798727, 43.7188032)",<b>2597 Keele St</b><br><b>Built</b>: 1955<br><b>Landlord/Management</b>: Macdane Investments<br><b>Units</b>: 39<br><b>RentSafeTO Evaluation</b>: 76%<br><b>Eviction Hearings</b>: 2<br>
4154316,2639 Keele St,2639 Keele St,Maple Leaf,TRUE,Private,1953,2017,11,3,NA,2020-10-22,68,68%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4803099, 43.7210102)",<b>2639 Keele St</b><br><b>Built</b>: 1953<br><b>Units</b>: 11<br><b>RentSafeTO Evaluation</b>: 68%<br>
4154322,15 Martha Eaton Way,15 Martha Eaton Way,Brookhaven-Amesbury,TRUE,Private,1984,2017,364,23,Bentall Kennedy Candace Inc,2020-11-03,82,82%,81% to 100%,#e7e1ef,TRUE,2018-06-08,FALSE,NA,NA,TRUE,3,"c(-79.488572, 43.696578)",<b>15 Martha Eaton Way</b><br><b>Built</b>: 1984<br><b>Landlord/Management</b>: Bentall Kennedy Candace Inc<br><b>Units</b>: 364<br><b>RentSafeTO Evaluation</b>: 82%<br><b>Eviction Hearings</b>: 3<br><b>AGI Application</b>: 2018-06-08<br>
4154323,101 Brookhaven Dr,101 Brookhaven Dr,Brookhaven-Amesbury,TRUE,Private,1965,2017,19,3,NA,2020-11-02,82,82%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,TRUE,1,"c(-79.4948373, 43.7034072)",<b>101 Brookhaven Dr</b><br><b>Built</b>: 1965<br><b>Units</b>: 19<br><b>RentSafeTO Evaluation</b>: 82%<br><b>Eviction Hearings</b>: 1<br>
4154326,1607 Jane St,1607 Jane St,Brookhaven-Amesbury,TRUE,Private,1960,2017,29,3,NA,2021-04-21,80,80%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.5028196, 43.7007668)",<b>1607 Jane St</b><br><b>Built</b>: 1960<br><b>Units</b>: 29<br><b>RentSafeTO Evaluation</b>: 80%<br>
